distrito,nombre_provincia,departamento,nombre_comuna,codigo_comuna,Cantidad_total_de_hogares,Cantidad_total_de_personas,Cantidad_de_personas_en_el_hogar,Poblacion_de_0_a_12_anios,Poblacion_de_3_a_4_anios,Poblacion_de_13_a_15_anios,Poblacion_de_13_a_18_anios,Poblacion_de_14_a_25_anios,Poblacion_de_16_a_17_anios,Poblacion_de_18_anios_y_mas,Poblacion_de_18_a_29_anios,Poblacion_de_30_a_54_anios,Poblacion_de_55_a_69_anios,Poblacion_de_70_anios_y_mas,Poblacion_de_5_a_12_anios,Mujeres_de_18_anios_y_mas,Mujeres_de_18_a_29_anios,Mujeres_de_30_a_54_anios,Mujeres_de_55_a_69_anios,Mujeres_de_70_y_mas,Varones_de_18_anios_y_mas,Varones_de_18_a_29_anios,Varones_de_30_a_54_anios,Varones_de_55_a_69_anios,Varones_de_70_y_mas,Hogares_con_al_menos_un_indicador_NBI,Hogares_total_con_marginalidad,Hogares_con_computadora,Hogares_con_personas_de_servicio_domestico_sin_retiro_con_cama,Hogares_con_hacinamiento__mayorigual_3_personas_por_cuarto,Hogares_sin_heladera,Hogares_con_calidad_de_la_vivienda_insuficiente,Hogares_con_calidad_de_la_vivienda_precaria,Hogares_sin_boton_cadena_o_mochila_para_inodoro,Hogares_sin_canieria_de_agua_en_la_vivienda,Hogares_sin_cloaca___red_publica,Hogares_con_desague_a_hoyo_o_pozo_ciego_sin_camara,Hogares_sin_piso_ok,Hogares_con_telefono_celular,Hogares_con_telefono_fijo,Hogares_con_garrafa_o_lenia_para_cocinar,Hogares_propietarios_de_la_vivienda_,Hogares_inquilinos_de_la_vivienda_,Hogares_ni_propietarios_ni_inquilinos,Hogares_con_jefatura_femenina,Hogares_con_jefe_nacido_en_pais_limitrofe_mas_Peru,Hogares_con_jefes_con_secundaria_completa,Hogares_con_jefes_con_universitario_completa,Hogares_con_jefes_sin_secundaria_completa,Hogares_con_conyugues_sin_secundaria_completa,Personas_nacidas_en_pais_limitrofe_mas_Peru,Ninios_de_0_a_17_anios,Poblacion_con_universitario_completo_o_mas,Ninios_de_3_y_4_anios_que_no_asisten_a_jardin,Personas_14a25_sin_secundario_completoomas_y_quenoestudian,Poblacion_de_5_a_12_que_no_asiste,Poblacion_de_13_a_18_que_no_asiste__sin_secundaria_completa,Poblacion_de_18_a_29_sin_secundaria_completa_que_no_asiste,Poblacion_de_18_a_29_que_no_estudia_ni_trabaja,Poblacion_de_18_a_29_anios_que_utiliza_computadora,Poblacion_de_18_y_mas_que_usa_computadora,Poblacion_de_18_y_mas_hasta_primaria,Poblacion_de_18_y_mas_con_primaria_y_secundario_completo,Poblacion_18ymas_secundcompleto_o_terc_sinuniversitariocompleto,Poblacion_de_18_y_mas_nacida_en_pais_limitrofe_mas_Peru,Varones_ocupados_de_18_y_mas,Varones_desocupados_de_18_y_mas,Varones_inactivos_de_18_y_mas,Varones_de_18_a_29_que_no_estudian_ni_trabajan,Varones_ocupados_de_18_a_29_anios,Varones_desocupados_de_18_a_29_anios,Varones_inactivos_de_18_a_29_anios,Varones_ocupados_de_30_a_54_anios,Varones_desocupados_de_30_a_54_anios,Varones_inactivos_de_30_a_54_anios,Varones_ocupados_de_55_a_69_anios,Varones_desocupados_de_55_a_69_anios,Varones_inactivos_de_55_a_69_anios,Varones_ocupados_de_70_y_mas,Varones_desocupados_de_70_y_mas,Varones_inactivos_de_70_y_mas,Mujeres_ocupadas_de_18_y_mas,Mujeres_desocupadas_de_18_y_mas,Mujeres_inactivas_de_18_y_mas,Mujeres_de_18_a_29_que_no_estudian_ni_trabajan,Mujeres_ocupadas_de_18_a_29_anios,Mujeres_desocupadas_de_18_a_29_anios,Mujeres_inactivas_de_18_a_29_anios,Mujeres_ocupadas_de_30_a_54_anios,Mujeres_desocupadas_de_30_a_54_anios,Mujeres_inactivas_de_30_a_54_anios,Mujeres_ocupadas_de_55_a_69_anios,Mujeres_desocupadas_de_55_a_69_anios,Mujeres_inactivas_de_55_a_69_anios,Mujeres_ocupadas_de_70_y_mas,Mujeres_desocupadas_de_70_y_mas,Mujeres_inactivas_de_70_y_mas,Codigo_de_provincia,Poblacion_total,Total_de_hogares,hogares_calidad_de_construccion,hogares_jefes_universitario,hogares_personal_con_cama,hogares_piso_precario,personas_utilizan_compu,hogares_servicios,hogares_jefe_con_secundaria,personas_jovenes_asistencia_sin_secundario
2,Ciudad Autónoma de Buenos Aires,2001,Comuna 1,2001,84468,189339,736.74610175,26999,4084,5821,11958,35140,3848,152671,42931,63957,26491,19292,15588,82135,21812,33019,14862,12442,70536,21119,30938,11629,6850,13429,3317,51500,923,2952,6910,10172,22081,4034,6423,1708,944,7980,73457,60208,10966,41255,35912,7301,37496,11342,58270,18825,26198,10712,26208,36668,29322,1140,6421,327,1300,8797,4809,35887,104940,40090,64227,74438,23108,58505,2133,9898,1486,16832,1186,3101,29169,633,1136,9765,249,1615,2739,65,4046,54818,3134,24183,3323,15234,1597,4981,27323,1156,4540,9497,318,5047,2764,63,9615,658,205886,84468,26.14,22.29,1.09,9.45,83.59,1.12,68.98,18.27
2,Ciudad Autónoma de Buenos Aires,2002,Comuna 2,2002,73156,152256,419.35850806,14733,2225,3404,7590,29263,2313,131806,37195,46601,26313,21697,8824,76474,20610,25853,15609,14402,55332,16585,20748,10704,7295,1497,55,57998,1969,326,515,795,6002,208,362,196,62,595,65253,68708,320,42576,23847,6733,35857,2516,64631,29834,8525,3252,6444,20450,46880,158,973,62,245,1269,2085,36330,107548,14704,56748,67850,6115,44222,1481,9629,792,11676,981,3928,19845,322,581,9343,142,1219,3358,36,3901,49927,2158,24389,1293,13960,1265,5385,22303,586,2964,10228,257,5124,3436,50,10916,396,157932,73156,8.2,40.78,2.69,0.81,97.67,0.08,88.35,3.33
2,Ciudad Autónoma de Buenos Aires,2003,Comuna 3,2003,80489,181871,576.7603311299999,24104,3681,5309,10888,31314,3565,148893,37871,63224,27238,20560,14419,82487,19434,33284,16048,13721,66406,18437,29940,11190,6839,9560,484,51631,310,1717,3561,3919,12116,304,3461,291,38,1593,69059,64202,2257,40816,33496,6177,37409,8201,56173,14834,24316,9511,19158,32978,23748,628,3976,158,816,5353,3439,34777,105540,38870,68750,79931,17561,54783,1936,9687,1171,14649,1052,2736,28493,565,882,9299,246,1645,2342,73,4424,55013,2849,24625,2268,14075,1377,3982,28318,1019,3947,9934,375,5739,2686,78,10957,508,187537,80489,15.05,18.43,0.39,1.98,91.83,0.05,69.79,12.7
2,Ciudad Autónoma de Buenos Aires,2004,Comuna 4,2004,76455,215629,706.16195071,39182,5906,9123,18109,40495,5924,161400,42783,70959,28094,19564,23887,86824,21349,37125,15803,12547,74576,21434,33834,12291,7017,9678,3993,42164,155,2734,3408,7492,22345,3711,3590,2596,1204,8468,65630,53996,16059,45852,24093,6510,32436,11284,39453,7595,37002,18103,28506,54229,13705,1312,9683,298,2038,12973,6098,33895,97582,62739,62497,71737,24886,60710,2573,11293,1872,17347,1365,2722,31742,820,1272,9702,324,2265,1919,64,5034,54030,3869,28925,4226,14400,1823,5126,29161,1589,6375,8623,398,6782,1846,59,10642,504,218245,76455,29.23,9.93,0.2,11.08,79.23,1.57,51.6,23.91
2,Ciudad Autónoma de Buenos Aires,2005,Comuna 5,2005,76846,175338,502.75462689,22522,3410,4828,10102,27001,3449,144539,32997,62631,27894,21017,13642,80673,16923,33404,16465,13881,63866,16074,29227,11429,7136,4652,192,54204,295,822,1527,2054,9227,216,1536,280,25,1338,67096,66779,1177,44918,26359,5569,34767,4482,56998,17647,19848,8130,10335,30799,28810,351,2639,100,558,3592,2385,31167,107682,32928,65125,77734,9575,52766,1774,9326,923,12932,982,2160,28043,517,667,9491,221,1717,2300,54,4782,54026,2576,24071,1462,12744,1135,3044,28792,1056,3556,9942,318,6205,2548,67,11266,436,179005,76846,12.01,22.96,0.38,1.74,94.45,0.03,74.17,9.77
2,Ciudad Autónoma de Buenos Aires,2006,Comuna 6,2006,75189,172815,496.43046062999997,21986,3456,4517,9424,24246,3202,143110,29329,62497,29049,22235,12961,80214,15261,33600,16770,14583,62896,14068,28897,12279,7652,1656,75,56637,413,386,570,734,6003,111,463,180,26,778,66241,69116,438,49633,20361,5195,32201,2709,60650,22306,14539,6218,6331,29705,37449,222,1579,86,380,2105,1867,28342,111950,24614,63643,77661,5961,51821,1537,9538,715,11074,841,2153,27883,420,594,10350,222,1707,2514,54,5084,52833,2200,25181,1152,11510,933,2818,29016,889,3695,9895,318,6557,2412,60,12111,430,176076,75189,7.98,29.67,0.55,1.03,96.63,0.03,80.66,6.51
2,Ciudad Autónoma de Buenos Aires,2007,Comuna 7,2007,81483,216955,665.7885447,35779,5574,7871,15734,37736,5195,168110,41240,72028,31394,23448,21519,91745,20898,38009,17740,15098,76365,20342,34019,13654,8350,7040,1788,50522,358,2030,4016,5142,16698,2504,2609,906,243,6015,69993,64139,9337,52166,23153,6164,32893,5254,53101,13968,28382,13407,12922,48845,25047,1346,6527,283,1382,8679,4900,34695,112883,47966,72963,85740,11618,62244,2355,11766,1580,16382,1205,2755,32174,748,1097,11049,332,2273,2639,70,5641,57099,3311,31335,3320,14591,1454,4853,30396,1371,6242,9780,397,7563,2332,89,12677,500,220591,81483,20.49,17.14,0.44,7.38,84.13,0.3,65.17,17.3
2,Ciudad Autónoma de Buenos Aires,2008,Comuna 8,2008,58204,186877,512.61898269,41229,6441,9026,17910,39361,5854,130768,39997,57156,20066,13549,24481,69758,20102,29628,11390,8638,61010,19895,27528,8676,4911,6582,5211,25731,64,2952,4125,7533,23553,5116,2717,2599,1459,12509,49102,34673,20501,40567,12464,5173,23821,8136,21987,2259,36217,18935,20234,56109,4869,2172,11588,464,2613,15173,7511,27981,66759,61303,45134,49705,17479,49139,2245,9626,2102,16172,1189,2534,25326,780,1422,6441,249,1986,1200,27,3684,39354,3831,26573,5409,12212,1893,5997,20659,1606,7363,5310,292,5788,1173,40,7425,324,187237,58204,40.47,3.88,0.11,21.49,69.96,2.51,37.78,29.44
2,Ciudad Autónoma de Buenos Aires,2009,Comuna 9,2009,56495,159892,523.53243049,26136,4019,6092,12015,26407,3944,123720,27797,53198,24177,18548,16126,66531,13848,27446,13387,11850,57189,13949,25752,10790,6698,2345,758,34236,129,808,1162,1645,10148,624,711,621,188,2692,47786,46871,4067,38661,13660,4174,21485,2312,31330,5573,25165,12318,5956,36172,11102,913,4448,236,1039,5881,3437,24260,78103,44359,52599,60962,5451,45770,1747,9672,1132,11221,902,1826,24283,551,918,8507,259,2024,1759,35,4904,38180,2778,25573,2305,9483,1159,3206,20719,1215,5512,6437,356,6594,1541,48,10261,372,161797,56495,17.96,9.86,0.23,4.77,87.28,0.33,55.46,16.84
2,Ciudad Autónoma de Buenos Aires,2010,Comuna 10,2010,61453,163685,525.50196981,23984,3718,5340,11068,25609,3729,130632,27932,55981,26415,20304,14802,71142,14062,29364,14718,12998,59490,13870,26617,11697,7306,2149,200,41245,204,540,921,983,7458,199,691,304,38,1189,52744,53988,1040,42523,15078,3852,24144,2389,40849,9531,20604,9868,6043,33053,17774,449,3119,144,736,4059,2539,25907,91252,36714,59415,71052,5510,48182,1655,9653,913,11249,839,1782,25472,513,632,9442,251,2004,2019,52,5235,43141,2601,25400,1626,10309,1048,2705,23384,1152,4828,7655,347,6716,1793,54,11151,394,166022,61453,12.14,15.51,0.33,1.93,92.75,0.06,66.47,12.18
